Date,Open,High,Low,Close,Volume
31/1/1950,16.66,17.09,16.65,17.05,25999998
28/2/1950,17.05,17.35,16.99,17.22,21027780
31/3/1950,17.24,17.61,17.07,17.29,24111109
30/4/1950,17.34,18.07,17.34,18.07,30088890
31/5/1950,18.22,18.78,18.11,18.78,27366665
30/6/1950,18.77,19.4,17.44,17.69,25366667
31/7/1950,17.64,17.91,16.68,17.84,24761113
31/8/1950,18.02,18.82,17.95,18.42,21611110
30/9/1950,18.55,19.45,18.54,19.45,21438887
31/10/1950,19.69,20.16,19.53,19.53,29566666
30/11/1950,19.56,20.32,19.36,19.51,26194448
31/12/1950,19.66,20.43,19,20.41,36283333
31/1/1951,20.77,21.74,20.69,21.66,42866667
28/2/1951,21.77,22.21,21.76,21.8,25688889
31/3/1951,21.85,21.95,21.25,21.4,22061108
30/4/1951,21.32,22.43,21.26,22.43,21322222
31/5/1951,22.53,22.81,21.03,21.52,23738888
30/6/1951,21.48,22.05,20.96,20.96,20122223
31/7/1951,21.1,22.63,21.1,22.4,15549999
31/8/1951,22.51,23.28,22.51,23.28,18683331
30/9/1951,23.28,23.71,23.26,23.26,20233334
31/10/1951,23.47,23.85,22.45,22.94,25994447
30/11/1951,23.1,23.1,22.3,22.88,15905555
31/12/1951,22.94,23.77,22.94,23.77,19533335
31/1/1952,23.8,24.66,23.74,24.14,22861110
29/2/1952,24.3,24.41,23.09,23.26,16911112
31/3/1952,23.28,24.37,23.28,24.37,18438891
30/4/1952,24.18,24.18,23.32,23.32,17700002
31/5/1952,23.17,23.94,23.17,23.86,14872221
30/6/1952,23.8,24.96,23.78,24.96,14183333
31/7/1952,25.12,25.4,24.81,25.4,13388890
31/8/1952,25.45,25.55,24.83,25.03,11605554
30/9/1952,25.15,25.25,24.45,24.54,13388889
31/10/1952,24.48,24.58,23.8,24.52,14411112
30/11/1952,24.6,25.66,24.6,25.66,16783336
31/12/1952,25.68,26.59,25.61,26.57,22488888
31/1/1953,26.54,26.66,25.86,26.38,18922224
28/2/1953,26.51,26.54,25.48,25.9,16761113
31/3/1953,25.93,26.33,25.29,25.29,23616666
30/4/1953,25.25,25.25,24.19,24.62,19094443
31/5/1953,24.73,25.06,24.46,24.54,14294445
30/6/1953,24.15,24.22,23.54,24.14,14488888
31/7/1953,24.24,24.75,24.07,24.75,12355557
31/8/1953,24.84,24.84,23.32,23.32,13272225
30/9/1953,23.42,23.65,22.71,23.35,15083334
31/10/1953,23.49,24.58,23.39,24.54,14283332
30/11/1953,24.66,24.76,24.25,24.76,14799999
31/12/1953,24.78,24.99,24.55,24.81,20083334
31/1/1954,24.95,26.09,24.8,26.08,18566666
28/2/1954,25.99,26.3,25.81,26.15,18477778
31/3/1954,26.25,26.94,26.25,26.94,24472223
30/4/1954,27.17,28.26,27.01,28.26,24166665
31/5/1954,28.21,29.19,28.21,29.19,23277778
30/6/1954,29.19,29.43,28.15,29.21,23461112
31/7/1954,29.21,30.88,29.21,30.88,28799999
31/8/1954,30.99,31.21,29.83,29.83,31611111
30/9/1954,30.04,32.69,30.04,32.31,22899999
31/10/1954,32.29,32.76,31.68,31.68,24538892
30/11/1954,31.79,34.55,31.79,34.24,35005555
31/12/1954,33.99,35.98,33.99,35.98,42488887
31/1/1955,36.75,36.75,34.58,36.63,41472221
28/2/1955,36.72,37.15,36.44,36.76,33783332
31/3/1955,36.83,37.52,34.96,36.58,36544443
30/4/1955,36.95,38.32,36.83,37.96,29883336
31/5/1955,38.04,38.04,36.97,37.91,25250000
30/6/1955,37.96,41.03,37.96,41.03,32288886
31/7/1955,41.19,43.76,41.19,43.52,26927778
31/8/1955,42.93,43.18,41.74,43.18,23222223
30/9/1955,43.37,45.63,42.61,43.67,33377778
31/10/1955,42.49,42.99,40.8,42.34,23416666
30/11/1955,42.28,46.41,42.28,45.51,25755556
31/12/1955,45.35,45.89,44.95,45.48,28327779
31/1/1956,45.16,45.16,43.11,43.82,26200000
29/2/1956,44.03,45.43,43.42,45.34,25761113
31/3/1956,45.54,48.87,45.54,48.48,33505556
30/4/1956,48.7,48.85,47.09,48.38,30055554
31/5/1956,48.16,48.51,44.1,45.2,29561112
30/6/1956,45.58,47.13,45.14,46.97,20655557
31/7/1956,46.93,49.48,46.93,49.39,25361108
31/8/1956,49.62,49.64,46.94,47.51,24694445
30/9/1956,47.89,48.1,45.35,45.35,20677776
31/10/1956,44.7,47,44.7,45.58,22388889
30/11/1956,46.52,47.6,44.38,45.08,24194443
31/12/1956,45.98,47.04,45.84,46.67,25738888
31/1/1957,46.2,46.66,44.4,44.72,26744446
28/2/1957,44.62,44.62,42.39,43.26,20849998
31/3/1957,43.74,44.23,43.74,44.11,19788890
30/4/1957,44.14,45.74,44.14,45.74,26827778
31/5/1957,46.02,47.43,46.02,47.43,29199999
30/6/1957,47.37,48.24,46.78,47.37,24149998
31/7/1957,47.43,49.13,47.43,47.91,26794442
31/8/1957,47.79,47.79,43.89,45.22,22994444
30/9/1957,45.44,45.44,42.42,42.42,20494445
31/10/1957,42.76,43.14,38.98,41.06,35533332
30/11/1957,40.44,41.72,39.44,41.72,26777776
31/12/1957,41.36,41.54,39.38,39.99,30244444
31/1/1958,40.33,41.88,40.33,41.7,27683333
28/2/1958,42.04,42.46,40.61,40.84,22327776
31/3/1958,41.13,42.58,41.13,42.1,25933333
30/4/1958,41.93,43.44,41.33,43.44,27927777
31/5/1958,43.54,44.09,43.12,44.09,30055555
30/6/1958,44.31,45.34,44.31,45.24,31449999
31/7/1958,45.28,47.19,45.11,47.19,38572221
31/8/1958,47.49,48.16,47.22,47.75,34611112
30/9/1958,48,50.06,47.97,50.06,39966665
31/10/1958,49.98,51.62,49.98,51.33,52788887
30/11/1958,51.56,53.24,51.02,52.48,41305555
31/12/1958,52.69,55.21,52.46,55.21,42188890
31/1/1959,55.44,56.04,54.89,55.45,46244444
28/2/1959,55.21,55.52,53.58,55.41,36549999
31/3/1959,55.73,56.67,55.44,55.44,45794446
30/4/1959,55.69,58.17,55.69,57.59,42133335
31/5/1959,57.65,58.68,56.88,58.68,39416665
30/6/1959,58.63,58.63,56.36,58.47,35727779
31/7/1959,58.97,60.62,58.91,60.51,39388889
31/8/1959,60.71,60.71,58.27,59.6,28361112
30/9/1959,58.87,58.92,55.14,56.88,31944444
31/10/1959,56.94,57.52,56,57.52,34072222
30/11/1959,57.41,58.28,56.22,58.28,35833332
31/12/1959,58.7,59.89,58.6,59.89,40116668
31/1/1960,59.91,60.39,55.61,55.61,35511112
29/2/1960,55.96,56.82,54.73,56.12,33611111
31/3/1960,56.01,56.01,53.47,55.34,36505556
30/4/1960,55.43,56.59,54.37,54.37,31833335
31/5/1960,54.13,55.83,54.13,55.83,38216666
30/6/1960,55.89,58,55.89,56.92,42488889
31/7/1960,57.06,57.38,54.17,55.51,29922222
31/8/1960,55.53,58.07,54.72,56.96,36294446
30/9/1960,57.09,57.09,52.48,53.52,33799998
31/10/1960,53.36,54.86,52.2,53.39,30205556
30/11/1960,53.94,56.43,53.94,55.54,34450000
31/12/1960,55.3,58.11,55.3,58.11,42961112
31/1/1961,57.57,61.97,57.57,61.78,49450000
28/2/1961,61.9,63.44,61.14,63.44,51516666
31/3/1961,63.43,65.06,63.38,65.06,63916666
30/4/1961,65.6,68.68,64.4,65.31,56533333
31/5/1961,65.17,67.39,65.17,66.56,53855555
30/6/1961,66.56,67.08,64.47,64.64,40605555
31/7/1961,65.21,66.76,64.41,66.76,33800000
31/8/1961,67.37,68.44,66.94,68.07,45272222
30/9/1961,68.19,68.46,65.77,66.73,35455558
31/10/1961,66.77,68.62,66.73,68.62,40544448
30/11/1961,68.73,71.85,68.73,71.32,48761110
31/12/1961,71.78,72.64,70.86,71.55,45766668
31/1/1962,71.55,71.96,67.55,68.84,44883332
28/2/1962,68.84,71.13,68.56,69.96,36738890
31/3/1962,69.96,71.44,69.16,69.55,38022223
30/4/1962,69.55,69.82,64.95,65.24,36244446
31/5/1962,65.24,66.93,53.13,59.63,61683334
30/6/1962,59.63,59.96,51.35,54.75,55644443
31/7/1962,54.75,58.67,54.47,58.23,41200002
31/8/1962,58.23,60.33,56.76,59.12,44666665
30/9/1962,59.12,59.54,55.53,56.27,34938889
31/10/1962,56.27,57.83,52.55,56.52,43716667
30/11/1962,56.52,62.78,55.9,62.26,53344444
31/12/1962,62.26,63.5,61.28,63.1,44927778
31/1/1963,63.1,66.59,62.32,66.2,56650000
28/2/1963,66.31,66.96,64.08,64.29,43955555
31/3/1963,64.29,67.01,63.8,66.57,41533335
30/4/1963,66.57,70.18,66.23,69.8,59049999
31/5/1963,69.8,71.14,69.03,70.8,58372220
30/6/1963,70.8,71.24,68.78,69.37,50322224
31/7/1963,69.37,70.48,67.54,69.13,42394446
31/8/1963,69.13,72.71,68.64,72.5,50916665
30/9/1963,72.5,73.87,71.28,71.7,59233335
31/10/1963,71.7,75.18,71.57,74.01,67977777
30/11/1963,74.01,74.44,69.48,73.23,52216666
31/12/1963,73.23,75.36,73.02,75.02,54811110
31/1/1964,75.02,77.78,74.82,77.04,64788887
29/2/1964,77.04,78.31,76.36,77.8,48950001
31/3/1964,77.8,79.89,77.5,78.98,63199999
30/4/1964,78.98,81.2,78.67,79.46,68605554
31/5/1964,79.46,81.81,78.44,80.37,55083333
30/6/1964,80.37,82.1,78.15,81.69,53416667
31/7/1964,81.69,84.33,81.46,83.18,56994444
31/8/1964,83.18,83.49,80.8,81.83,45711112
30/9/1964,81.83,84.8,81.57,84.18,60983332
31/10/1964,84.18,85.7,83.65,84.86,59194445
30/11/1964,84.86,86.8,84.1,84.42,52022222
31/12/1964,84.42,85.18,82.65,84.75,57783331
31/1/1965,84.75,88.19,83.77,87.56,60627777
28/2/1965,87.56,88.06,85.25,87.43,62377779
31/3/1965,87.43,87.93,85.65,86.16,69349998
30/4/1965,86.16,89.64,85.87,89.11,66177782
31/5/1965,89.11,90.68,87.24,88.42,61216668
30/6/1965,88.42,88.8,80.73,84.12,71200000
31/7/1965,84.12,86.47,83.3,85.25,47305558
31/8/1965,85.25,87.79,84.8,87.17,60594443
30/9/1965,87.17,91.13,86.69,89.96,86211112
31/10/1965,89.96,93.19,89.3,92.42,91161112
30/11/1965,92.42,93.3,90.81,91.61,81727779
31/12/1965,91.61,93.07,89.2,92.43,106138888
31/1/1966,92.43,94.64,91.63,92.88,101616668
28/2/1966,92.88,94.72,90.43,91.22,92105556
31/3/1966,91.22,91.65,86.69,89.23,106311111
30/4/1966,89.23,93.02,88.96,91.06,103422223
31/5/1966,91.06,91.75,83.18,86.13,95161110
30/6/1966,86.13,87.74,83.75,84.74,78027778
31/7/1966,84.74,88.19,83.05,83.6,66561111
31/8/1966,83.5,84.7,73.91,77.1,90238892
30/9/1966,77.1,80.81,75.03,76.56,66683333
31/10/1966,76.56,80.91,72.28,80.2,81227780
30/11/1966,80.2,83.01,78.89,80.45,80988888
31/12/1966,80.45,83.88,79.49,80.33,91705554
31/1/1967,80.33,88.17,79.43,86.61,115227778
28/2/1967,86.61,89,85.61,86.78,101638889
31/3/1967,86.78,91.72,86.67,90.2,124800001
30/4/1967,90.2,94.77,87.86,94.01,104249998
31/5/1967,94.01,95.25,88.71,89.08,121344446
30/6/1967,89.08,93.28,87.19,90.64,118105554
31/7/1967,90.64,95.51,90.12,94.75,120405555
31/8/1967,94.75,96.67,92.01,93.64,115444444
30/9/1967,93.64,98.31,93,96.71,113866667
31/10/1967,96.71,98.25,93.29,93.3,124877777
30/11/1967,93.3,95.51,90.09,94,117461110
31/12/1967,94,96.9,93.41,96.47,127477777
31/1/1968,96.47,97.84,91.27,92.24,145983334
29/2/1968,92.24,93.44,86.73,89.36,96877779
31/3/1968,89.36,91.09,86.99,90.2,107005556
30/4/1968,91.11,98.61,91.11,97.46,164122224
31/5/1968,97.46,100.19,95.8,98.68,162211109
30/6/1968,98.72,102.84,98.72,99.58,142938887
31/7/1968,99.58,103.67,96.84,97.74,134694445
31/8/1968,97.74,99.67,95.79,98.86,107761110
30/9/1968,98.86,103.63,98.31,102.67,126833334
31/10/1968,102.67,105.78,101.8,103.41,151222224
30/11/1968,103.41,109.09,101.85,108.37,139916666
31/12/1968,108.37,109.37,102.98,103.86,148600001
31/1/1969,103.86,104.87,96.63,103.01,148111110
28/2/1969,103.01,104.61,97.36,98.13,115272221
31/3/1969,98.13,102.35,97.06,101.51,110616668
30/4/1969,101.51,104.56,99.08,103.69,131627778
31/5/1969,103.69,106.74,102.29,103.46,142544445
30/6/1969,103.46,103.75,95.21,97.71,130627779
31/7/1969,97.71,100.33,88.04,91.83,126805558
31/8/1969,91.92,96.43,91.48,95.51,112044444
30/9/1969,95.51,96.62,91.77,93.12,121750002
31/10/1969,93.12,98.83,91.66,97.12,172283330
30/11/1969,97.12,99.23,92.24,93.81,118666668
31/12/1969,93.81,94.47,88.62,92.06,151305554
31/1/1970,92.06,94.25,84.42,85.02,122827777
28/2/1970,85.02,90.33,84.64,89.5,126877778
31/3/1970,89.5,91.07,86.19,89.63,118266666
30/4/1970,89.63,90.7,79.31,81.52,123955556
31/5/1970,81.52,82.32,68.61,76.55,143455555
30/6/1970,76.55,79.96,72.25,72.72,125788889
31/7/1970,72.72,79.03,70.69,78.05,126522221
31/8/1970,78.05,82.47,74.13,81.52,121494446
30/9/1970,81.52,84.99,79.95,84.3,168494444
31/10/1970,84.3,87.75,82.29,83.25,145205556
30/11/1970,83.25,87.6,82.23,87.2,127938890
31/12/1970,87.2,92.99,86.11,92.15,186244446
31/1/1971,92.15,96.49,90.64,95.88,193605555
28/2/1971,95.88,99.59,94.92,96.75,206216666
31/3/1971,96.75,102.03,96.11,100.31,216599999
30/4/1971,100.31,105.6,99.63,103.95,223100001
31/5/1971,103.95,104.42,98.68,99.63,170755557
30/6/1971,99.63,102.07,96.92,98.7,168661113
31/7/1971,99.16,101.52,95.08,95.58,147355555
31/8/1971,95.58,101.51,92.81,99.03,178066666
30/9/1971,99.03,102.25,96.97,98.34,140400001
31/10/1971,98.34,100.96,92.96,94.23,155600001
30/11/1971,94.23,96.08,89.34,93.99,153561113
31/12/1971,93.99,102.21,93.95,102.09,209822224
31/1/1972,102.09,105,100.87,103.94,210827777
29/2/1972,103.94,107.16,103.1,106.57,209033334
31/3/1972,106.57,109.75,105.86,107.2,224250000
30/4/1972,107.2,111.11,106.18,107.67,204438890
31/5/1972,107.67,111.48,103.83,109.53,186583337
30/6/1972,109.53,110.51,105.94,107.14,174727780
31/7/1972,107.14,110.27,104.43,107.39,160499999
31/8/1972,107.39,113.45,107.06,111.09,198294445
30/9/1972,111.09,112.12,107.35,110.55,136772221
31/10/1972,110.55,112.26,106.27,111.58,176277775
30/11/1972,111.58,117.91,111.32,116.67,225316668
31/12/1972,116.67,119.79,114.63,118.05,191516667
31/1/1973,118.06,121.74,114.97,116.03,218750001
28/2/1973,116.03,118.98,109.8,111.68,176772221
31/3/1973,111.68,115.61,107.41,111.52,190777778
30/4/1973,111.52,113.65,105.44,106.97,154438890
31/5/1973,106.97,112.25,101.36,104.95,187366668
30/6/1973,104.95,109.52,101.45,104.26,149277778
31/7/1973,104.1,111.04,100.44,108.22,170988890
31/8/1973,108.17,108.17,99.74,104.25,152477777
30/9/1973,104.25,110.45,102.13,108.43,182816666
31/10/1973,108.43,112.82,107.08,108.29,234944444
30/11/1973,108.29,109.2,94.88,95.96,222166668
31/12/1973,95.83,99.09,91.05,97.55,213544444
31/1/1974,97.55,100.94,91.62,96.57,201750001
28/2/1974,96.57,97.43,89.53,96.22,142672223
31/3/1974,96.22,101.05,93.44,93.98,172000000
30/4/1974,93.98,95.42,88.62,90.31,141261110
31/5/1974,90.31,93.59,85.87,87.28,152861110
30/6/1974,87.28,93.76,85.13,86,136299999
31/7/1974,86,86.89,78.96,79.31,152272222
31/8/1974,79.31,83.53,69.37,72.15,155611111
30/9/1974,72.15,73.01,62.52,63.54,155583334
31/10/1974,63.54,75.9,60.96,73.9,209500000
30/11/1974,73.9,77.41,66.85,69.97,159327778
31/12/1974,69.8,69.8,64.13,68.56,175083334
31/1/1975,68.65,78.69,68.65,76.98,240305555
28/2/1975,76.98,83.56,76,81.59,235355557
31/3/1975,81.59,87.08,80.08,83.36,252005556
30/4/1975,83.36,88.79,79.66,87.3,250750000
31/5/1975,87.3,93.51,86.94,91.15,254161112
30/6/1975,91.32,95.85,89.3,95.19,248333335
31/7/1975,95.19,96.58,87.68,88.75,245377778
31/8/1975,88.75,89.04,82.21,86.88,156372222
30/9/1975,86.88,87.42,81.57,83.87,152844444
31/10/1975,83.87,91.75,82.57,89.04,203077779
30/11/1975,89.04,92.33,87.63,91.24,177116664
31/12/1975,91.24,91.9,86.15,90.19,193872221
31/1/1976,90.19,101.99,89.81,100.86,353238889
29/2/1976,100.86,103.07,98.5,99.71,331183333
31/3/1976,99.71,104.39,98.23,102.77,294222221
30/4/1976,102.77,104.63,99.57,101.64,217922223
31/5/1976,101.64,103.99,98.26,100.18,197727778
30/6/1976,100.18,105.07,97.97,104.28,231794447
31/7/1976,104.28,106.78,102.31,103.44,218755556
31/8/1976,103.44,105.41,100.43,102.91,192600000
30/9/1976,102.91,108.72,102.6,105.24,230416668
31/10/1976,105.24,105.75,99.21,102.9,200772224
30/11/1976,102.9,103.78,98.18,102.1,211677778
31/12/1976,102.1,107.82,101.62,107.46,296972219
31/1/1977,107.46,107.97,100.91,102.03,278677776
28/2/1977,102.03,103.32,98.82,99.82,221355555
31/3/1977,99.82,102.7,97.8,98.42,241494444
30/4/1977,98.42,102.07,96.53,98.44,223922223
31/5/1977,98.44,100.93,95.52,96.12,236566665
