,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1950-07-01,308.153,309.76,2340.112,15398.0,-0.74,307.413,600.663,200.505,1.247,24.203,11.267,1.61,4.6,18.180000000000003,27607407.333333332,17.186666666666664,18.570000000000004
1950-10-01,319.945,321.554,2384.92,15623.0,-0.154,319.791,643.1,197.946,1.289,24.693,11.5,1.75,4.2,18.570000000000004,22603703.333333332,18.180000000000003,19.816666666666666
1951-01-01,336.0,337.537,2417.311,15769.0,0.177,336.177,711.537,209.207,1.296,25.697,11.7,1.75,3.5,19.816666666666666,30681482.333333332,18.570000000000004,21.62
1951-04-01,344.09,345.973,2459.196,15979.0,1.943,346.03299999999996,806.376,204.942,1.332,25.947,11.933,1.75,3.1,21.62,30205554.666666668,19.816666666666666,21.636666666666667
1951-07-01,351.385,353.381,2509.88,16234.0,3.742,355.127,895.015,207.616,1.385,25.933,11.933,1.75,3.2,21.636666666666667,21727777.666666668,21.62,22.98
1951-10-01,356.178,358.33,2515.408,16192.0,4.19,360.368,942.35,211.59,1.493,26.317,11.833,1.75,3.4,22.98,18155554.666666668,21.636666666666667,23.19666666666667
1952-01-01,359.82,361.821,2542.286,16299.0,3.721,363.541,970.394,212.969,1.668,26.417,11.833,1.75,3.1,23.19666666666667,20477779.0,22.98,23.923333333333336
1952-04-01,361.03,363.049,2547.762,16271.0,1.951,362.981,1003.463,217.088,1.798,26.487,11.967,1.75,3.0,23.923333333333336,19403704.333333332,23.19666666666667,24.046666666666667
1952-07-01,367.701,369.683,2566.153,16317.0,-0.004,367.697,1013.614,219.553,1.948,26.667,12.233,1.75,3.2,24.046666666666667,15585185.333333334,23.923333333333336,24.99
1952-10-01,380.812,382.751,2650.431,16776.0,-1.013,379.79900000000004,1030.52,227.67,2.136,26.697,12.333,1.75,2.8,24.99,12794444.333333334,24.046666666666667,25.583333333333332
1953-01-01,387.98,389.888,2699.699,17025.0,-0.667,387.31300000000005,1063.166,231.22,2.264,26.62,12.433,1.96,2.7,25.583333333333332,17894445.333333332,24.99,25.856666666666666
1953-04-01,391.749,393.801,2720.566,17093.0,-1.251,390.49800000000005,1084.966,232.96,2.384,26.72,12.567,2.0,2.6,25.856666666666666,19766667.666666668,25.583333333333332,24.433333333333334
1953-07-01,391.171,392.98,2705.258,16920.0,-0.552,390.61899999999997,1073.448,233.666,2.46,26.843,12.733,2.0,2.7,24.433333333333334,15959258.666666666,25.856666666666666,23.80666666666667
1953-10-01,385.97,387.798,2664.302,16586.0,-0.335,385.63500000000005,1070.774,233.112,2.506,26.89,12.667,2.0,3.7,23.80666666666667,13570372.0,24.433333333333334,24.703333333333333
1954-01-01,385.345,387.345,2651.566,16436.0,-0.356,384.98900000000003,1042.939,235.154,2.532,26.953,12.633,1.85,5.3,24.703333333333333,16388888.333333334,23.80666666666667,26.39
1954-04-01,386.121,388.119,2654.456,16387.0,0.254,386.375,1007.623,237.885,2.544,26.91,12.533,1.54,5.8,26.39,20505555.666666668,24.703333333333333,28.886666666666667
1954-07-01,390.996,393.034,2684.434,16496.0,0.574,391.57,985.832,240.303,2.532,26.84,12.5,1.5,6.0,28.886666666666667,23635185.0,26.39,31.006666666666664
1954-10-01,399.734,402.077,2736.96,16737.0,1.145,400.87899999999996,979.897,245.093,2.542,26.757,12.6,1.5,5.3,31.006666666666664,27770369.666666668,28.886666666666667,33.96666666666667
1955-01-01,413.073,415.496,2815.134,17144.0,1.104,414.17699999999996,980.472,251.398,2.489,26.793,12.633,1.5,4.7,33.96666666666667,34011111.333333336,31.006666666666664,36.656666666666666
1955-04-01,421.532,423.93,2860.942,17353.0,-0.155,421.377,970.852,256.466,2.575,26.757,12.7,1.71,4.4,36.656666666666666,37266665.333333336,33.96666666666667,38.96666666666667
1955-07-01,430.221,432.668,2899.578,17508.0,0.724,430.945,977.063,260.651,2.719,26.777,12.733,1.97,4.1,38.96666666666667,29140740.666666668,36.656666666666666,43.45666666666667
1955-10-01,437.092,439.619,2916.985,17528.0,0.24,437.332,957.677,264.639,2.962,26.857,12.833,2.37,4.2,43.45666666666667,27842593.0,38.96666666666667,44.44333333333333
1956-01-01,439.746,442.597,2905.656,17388.0,0.44,440.186,957.429,266.156,3.294,26.86,13.033,2.5,4.0,44.44333333333333,25833333.666666668,43.45666666666667,45.879999999999995
1956-04-01,446.01,448.848,2929.666,17461.0,1.909,447.919,976.761,268.834,3.546,27.037,13.2,2.72,4.2,45.879999999999995,28488889.666666668,44.44333333333333,46.85
1956-07-01,451.191,454.125,2927.034,17364.0,2.569,453.76,968.179,272.075,3.677,27.317,13.3,2.85,4.1,46.85,26757407.666666668,45.879999999999995,47.416666666666664
1956-10-01,460.463,463.023,2975.209,17562.0,4.527,464.99,992.811,277.445,3.77,27.55,13.6,3.0,4.1,47.416666666666664,23577776.333333332,46.85,45.776666666666664
1957-01-01,469.779,472.864,2994.259,17595.0,4.819,474.598,1014.096,281.889,3.711,27.777,13.9,3.0,3.9,45.776666666666664,24107406.666666668,47.416666666666664,44.029999999999994
