random_state,R^2,MSE train,MSE test
0,0.9959898257891913,2994.52763802617,5650.010434336195
1,0.9948966750311221,3065.5686153135734,9387.281339225983
2,0.9956351266714554,3005.9090111096402,4589.438490103317
3,0.9950971420841392,3285.2411163656507,4903.42347281137
5,0.9959644818934535,2792.5895625137327,5233.713567733958
6,0.9961750189014981,2547.8517458230117,7872.233915780477
7,0.9963488894683173,2711.008530651864,5850.178690855661
8,0.9961433788452967,2628.4398142560176,6441.790700410321
9,0.9957873475755064,3060.3305605113837,6255.451428830954
10,0.995109453571054,3091.7300864606636,6887.91194695225
11,0.9951567085051972,3397.532668489101,4710.303023052271
12,0.9955626596867586,2680.9156606055058,8689.146279911502
13,0.995941784951867,2895.0377338016856,5196.81179765252
14,0.9959204005131964,3135.12953485923,5959.993645002981
15,0.9953380502082325,3028.2580185729676,5264.972860417823
16,0.9960890794569506,2728.637047692347,6825.961767928028
17,0.9954883797686417,2947.578481443276,5636.988366362174
18,0.9960648976410629,2796.6920201302164,7147.378509451974
19,0.9957188365530677,3198.3782957596495,3828.599640157604
20,0.9957540551001703,3291.2017374463876,3575.698503559989
21,0.9958752377137572,3047.7966402274474,6307.288790781675
22,0.9961409005653514,2621.803553985018,8481.272986115107
23,0.994692503563477,3502.277465762139,3382.9502010443184
24,0.9955224872735235,3219.968474447226,4321.070028171325
25,0.9953391249913404,3040.084878257569,5130.85854010455
26,0.9960824638587412,2707.2104510018057,6250.590587537948
27,0.9951650134690859,3517.4805583729158,2979.409412130341
28,0.9959288112784412,2567.3273178023014,9056.851925219069
29,0.996145585614975,2564.0705395174687,7505.145962666185
30,0.9955010947942784,3294.275048216885,3540.429434620768
31,0.9965013640566636,2672.4860204719953,5717.054946801193
32,0.9959195792333323,2537.9504855016057,8865.458416700838
33,0.9956683651217871,2975.793692520623,5684.884511257334
34,0.9954403788261394,3340.8210966795955,3544.8898415870444
35,0.9961895411845496,2826.7936642768036,5517.781724217507
36,0.9961946404044699,2555.3598927077182,5992.480278892505
38,0.9951217005489987,3237.4011503474585,5085.7686636518065
39,0.9960845811765103,3095.3817030518408,4641.376540932542
40,0.9959099125200941,2926.7788193835772,5704.380687466163
41,0.996384119380532,2638.7959684637026,5928.353396676931
42,0.9961070258424873,2902.497182385751,5707.136622125658
43,0.9955865934121517,3351.809117362271,3179.6259568168284
44,0.9954395361354366,3174.9460257585274,5405.680448332135
45,0.9954481870890425,3215.1184583981435,3818.063814540156
46,0.995894805208861,2850.259715142424,6193.167667445761
47,0.9954825609998202,3501.4120634664996,2776.364723901915
48,0.9959629642258488,2922.824497097994,7607.586514912321
49,0.9952910772458554,3017.9441971275046,7047.335408027599
50,0.9956387268145314,3235.4051602769337,4227.298828368246
51,0.9957417477754422,3348.30927785236,3705.071713321829
52,0.9954693374183906,3111.07126772404,6432.561130975109
53,0.9958412698893332,2982.068409564497,5331.422828182726
54,0.9953546866669373,3392.7264082630886,3562.076177435042
55,0.9958116116920496,2727.6170111969454,9142.338705185597
56,0.9951962480926728,2981.1020465501024,7610.133711872103
57,0.9960079499831948,2803.9761316597137,8230.285343854397
58,0.9955839628696687,2714.61490306791,7383.195326822504
59,0.995633043404336,2935.12072446992,7558.2312403981405
60,0.995746814454198,3321.8279562724697,4042.8856024206952
61,0.9961090736572921,2588.5608983944394,8484.752401701582
62,0.9953608924376165,3539.808092211006,2588.6101687688956
64,0.9956062294324806,3454.312750480578,3106.0408567328095
65,0.995395707214468,3103.8635631187353,6745.318204304275
66,0.9963465447170451,2504.897442567139,7047.097054929498
68,0.9957401828724035,3037.1671774801753,5437.965498302706
69,0.9956097682066829,3321.0824897855196,3488.109132831588
70,0.9959275580883904,3091.9814550823044,4606.457640997518
71,0.9958169471206558,2944.0404201550455,5491.8124007663055
72,0.9947337522881462,3305.784903395005,4246.943618893859
73,0.9951005396225598,3300.088985991269,3570.5911708072376
74,0.9953103981557234,3006.6323418711922,5128.996224388339
75,0.9961095596642631,2928.298346694717,4762.480903578128
76,0.9958576881913427,3014.5659471558297,4575.885604560851
77,0.9955000680954016,3024.920915100281,6805.887918390295
80,0.9961968822924686,2986.1566049513717,4631.8240508613235
81,0.9956165817855055,3071.7575931488986,6330.031841912834
82,0.9957363810864633,3192.080388880064,4582.967512644122
83,0.9955401618987194,3085.871716703918,4334.837882222698
84,0.9961426759446692,3077.830438050444,4384.869517247486
85,0.9950043703992032,3309.901107645174,6408.908594782011
86,0.9956625826431913,3194.8099020195905,5327.563003262649
87,0.9957156241824369,2835.4194989942152,5289.557515448733
88,0.9958249155764355,3052.2688366545667,4792.536131332619
89,0.9959408867189262,2783.185441601981,9452.862863378126
90,0.9958213563038014,2937.0244968848133,5348.256359865203
91,0.9949296359118103,3222.319125859149,4423.662384448734
92,0.9960996135104726,2618.0892029171328,6026.849129180497
93,0.9946178796298993,3122.0010249918173,4941.689989845048
94,0.995552756138244,3174.6411013632123,4647.669116115816
96,0.9963884880831667,2567.730945696035,8154.435408789595
97,0.9955894189869539,3280.665858670811,3674.538727975874
98,0.9957524874479445,3154.194898344311,4028.703700644586
100,0.9954879562287666,3166.2835911706447,4077.1323539783675
101,0.9960547807633532,3003.2702531098753,4806.941567727962
102,0.9950343656967922,3600.626954104478,4037.5122788524586
103,0.9953233812841967,2903.538441761654,4722.149026944117
104,0.9955883525114383,3280.685944345022,3535.176166103323
105,0.9952756347406433,3022.025425123155,5325.128244247613
106,0.9963398014741156,2654.629708469198,7393.436112929905
107,0.9955043021793185,2927.730024299787,7858.963935886232
108,0.995258038788907,3239.511913236659,7849.0294278625815
